Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,AMZN,0,0,0,0,935830000000.0,980470000000.0,79.35,49.84,0.75,3.87,19.32,4.06,33.66,4.97,6.17,6.12,30.06,241550000000.0,494.21,17.0,93730000000.0,29130000000.0,12010000000.0,23.95,118.6,37020000000.0,75.19,69010000000.0,142.54,1.09,98.39,34360000000.0,20070000000.0,1.71,1827.27,1681.94,4170000.0,492330000.0,413220000.0,16.12,57.12,2580000.0,0.58,0.63,4580000.0
0,0,AN,0,0,0,0,3660000000.0,10520000000.0,9.44,9.82,1.26,0.17,1.31,0.5,11.55,1.87,3.51,4.38,15.01,21130000000.0,233.53,-5.3,3400000000.0,911100000.0,394700000.0,4.35,-1.8,48700000.0,0.55,6830000000.0,245.05,0.82,31.23,572000000.0,-96600000.0,1.06,36.55,37.0,1440000.0,89210000.0,58890000.0,13.56,87.13,6220000.0,7.1,11.6,5990000.0
0,0,ANF,0,0,0,0,1990000000.0,1570000000.0,27.66,19.24,8.48,0.55,1.63,0.44,4.99,2.08,3.8,3.62,6.38,3590000000.0,53.31,-3.1,2160000000.0,314270000.0,74540000.0,1.08,30.6,723130000.0,10.86,296780000.0,24.35,2.39,18.25,352930000.0,145840000.0,0.72,26.83,21.7,2410000.0,66620000.00000001,65879999.99999999,1.09,115.61,14650000.0,6.72,28.9,15100000.0
0,0,ANN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AON,0,0,0,0,42450000000.0,50470000000.0,36.16,17.12,1.64,3.92,8.9,4.66,17.1,11.08,22.44,5.33,22.88,10820000000.0,44.42,1.7,4780000000.0,2950000000.0,1130000000.0,4.88,10.9,629600000.0,2.62,7690000000.0,158.06,1.1,19.82,1620000000.0,1790000000.0,0.73,172.76,161.72,1060000.0,240520000.0,237780000.0,1.2,90.97,1610000.0,1.97,0.66,1550000.0
0,0,APA,0,0,0,0,11190000000.0,21170000000.0,283.62,17.21,-72.29,1.55,1.56,2.93,4.53,0.55,22.33,4.63,3.25,7220000000.0,18.89,1.3,5630000000.0,4680000000.0,40000000.0,0.1,,714000000.0,1.9,8199999999.999999,93.1,1.22,19.03,3780000000.0,192120000.0,1.97,34.94,33.87,4120000.0,375910000.0,374240000.0,0.27,102.26,25700000.0,6.78,9.12,26160000.0
0,0,APC,0,0,0,0,35910000000.0,53010000000.0,75.62,25.19,1.02,2.76,3.93,4.08,6.86,3.68,18.9,3.7,6.05,13010000000.0,26.17,3.3,9170000000.0,7730000000.0,470000000.0,0.95,,2029999999.9999998,4.14,17920000000.0,170.17,0.77,18.22,5630000000.0,-279120000.0,1.34,52.71,50.8,9400000.0,501960000.0,488880000.0,0.28,88.5,7680000.0,0.73,1.53,13710000.0
0,0,APD,0,0,0,0,45710000000.0,45890000000.0,27.06,22.23,2.04,5.1,4.09,5.12,14.94,18.9,22.83,6.78,15.27,8970000000.0,40.83,1.5,2740000000.0,3070000000.0,1650000000.0,7.67,1.2,2750000000.0,12.51,3810000000.0,33.09,2.36,50.72,2720000000.0,312840000.0,0.64,190.24,168.91,1090000.0,220130000.0,219560000.0,0.23,89.15,2760000.0,2.66,1.26,2950000.0
0,0,APH,0,0,0,0,29620000000.0,32650000000.0,25.53,23.22,4.12,3.57,7.17,3.94,16.09,14.55,20.54,10.86,29.95,8289999999.999999,27.66,4.9,2650000000.0,2029999999.9999998,1210000000.0,3.88,0.7,987600000.0,3.31,3740000000.0,89.7,2.5,13.84,1330000000.0,968560000.0,0.9,99.29,89.78,1120000.0,298730000.0,297300000.0,0.42,99.0,3180000.0,2.93,1.44,3190000.0
0,0,APOL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
